Sl. No.,Heads of Crime,For 2025
1,"Murder (Sec.302/303 IPC/103,104 BNS)",
,For gain,43
,Over Property Dispute,24
,Due to Personal Vendetta or enemity,34
,Due to Sexual jealousy,23
,For dowry by burning,1
,For dowry by other means,7
,Due to Communalism,1
,Due to Casteism,1
,Witch Craft (Sorcery),0
,For Human Sacrifice,1
,Due to Terrorism/Naxalism / Extremism,0
,For Political Reasons,0
,Due to Adultery,20
,Civil Disputes,49
,Electoral Gain,0
,Gang Rivalry,3
,Love Intrigue,23
,Professional,0
,Psychopathic/Serial Killer/Lunacy,0
,Rape with Murder,10
,Revenge/Enemity,45
,Sudden Quarrel,96
,Village Dispute,0
,Custodial,0
,Due to Other Causes,829
,Sub Total,1210
,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),
2,For Gain,19
,Over Property Dispute,80
,Due to Personal Vendetta or enemity,83
,Due to Sexual jealousy,14
,For Dowry other Means,20
,Dowry By Burning,2
,Due to Communalism,2
,Due to Casteism,1
,Witch Craft (Sorcery),0
,For Human Sacrifice,0
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,6
,Adultery,16
,Electoral Gain,0
,Gang Rivalry,3
,Love Intrigue,23
,Professional,8
,Rape,1
,Revenge/Enemity,237
,Sudden Quarrel,308
,Village Dispute,6
,Due to Other Causes,2095
,Civil Disputes,334
,Sub Total,3258
3,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),
,For Gain,0
,Over Civil Dispute,1
,Due to Personal Vendetta or enemity,0
,Due to Sexual jealousy,0
,For Dowry,0
,Due to Communalism,0
,Due to Casteism,0
,Witch Craft (Sorcery),0
,For Human Sacrifice,0
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,0
,Adultery,0
,Property Disputes,0
,Electoral Gain,4
,Gang Rivalry,0
,Love Intrigue,0
,Professional,1
,Sudden Quarrel,10
,Due to Other Causes,82
,Fatal (Drink & Drive),26
,Sub Total,124
4,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),
,For Gain,0
,Over Civil Dispute,2
,Due to Personal Vendetta or enemity,0
,Due to Sexual jealousy,0
,For Dowry,0
,Due to Communalism,0
,Due to Casteism,0
,Witch Craft (Sorcery),0
,For Human Sacrifice,0
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,0
,Due to Other Causes,50
,Adultery,1
,Property Disputes,3
,Electoral Gain,0
,Gang Rivalry,0
,Love Intrigue,2
,Professional,0
,Sudden Quarrel,10
,Sub Total,68
5,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",
,Custodial Rape,0
,Attempt to Commit,14
,By a Gang,16
,By Parents,3
,By Hospital Staff,5
,By Husband During Sepearation,6
,By Neighbours,38
,By Relatives,31
,In Jail Custody,0
,In Remand Home,0
,InCest,0
,Known Person,317
,Unknown Person,21
,Due to Other Causes,205
,On Minor,0
,Sub Total,656
6,Sexual Intercourse by employing deceitful means (Se 69 BNS),
,False promises of marriage,236
,Falsely claiming a job promotion or employment,2
,Suppressing identity to induce marriage,1
,Other,10
,Sub Total,249
7,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",
,Missing - Boy,2673
,Missing - Girl,997
,For Ransom - of Children,8
,For Ransom - of Cildren for Begging,0
,For Ransom - of Women,12
,For Ransom - of Girls for Immoral Purpose,0
,For Ransom - of Others,65
,Procuration of Minor Girls - For Prostitution,1
,Procuration of Minor Girls - Importring of Girl,0
,Procuration of Minor Girls - For other Purpose,15
,Espionage,0
,Intent to Steal From Child,0
,Murder (Homicide),0
,Obtain Signature Forcibly,1
,Recovering Loan,3
,Settling any Disputes,9
,Unnatural Lust / Illicit Intercourse,0
,Wrongful Confinement,13
,For Exporting,0
,From Lawful Guardianship,7
,For Camel Racing Etc.,0
,To Compel For Marriage,11
,For Slavery,1
,For Stealing From its Person,2
,Others,391
,Sub Total,4209
8,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",
,At ATM,0
,At Residential Premises,31
,On Highways,19
,In Trains,1
,At Banks,1
,At Commercial Places / Establishments,13
,On Other Roads,45
,In Other Places,33
,River & Sea,0
,Sub Total,143
8a,Preparation And Assembly for Dacoity,63
9,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",
,At ATM,0
,At Residential Premises,107
,On Highways,61
,In Trains,1
,At Banks,1
,At Commercial Places / Establishments,43
,In Other Places,359
,Chain Snatching,459
,Attempt to Commit,53
,Sub Total,1084
10,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",
,At Residential Premises,2379
,On Highways,3
,In Trains,0
,At Banks,29
,At Commercial Places / Establishments,642
,In Other Places,461
,Temple Theft,391
,Sub Total,3905
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",
,At Residential Premises,996
,On Highways,0
,In Trains,0
,At Banks,1
,At Commercial Places / Establishments,37
,In Other Places,50
,Temple Theft,17
,Sub Total,1101
,Total Burglary (Burglary Day + Burglary Night),5006
12,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),
,Attempt to commit,52
,Of Automobiles - Of Tractors,84
,In Running Bus,107
,Of Snatching,543
,At ATM,25
,Of Sand,1293
,Government Office,32
,Of Mines,101
,Communication And Elec. Wire,295
,Of Cattle,544
,Of Cycle,28
,Of Automobiles - Of Lorries/Trucks,116
,Of Automobiles - Of Buses,3
,Of Automobiles - Of Cars / Jeeps,250
,Of Automobiles - Of Two Wheelers,8860
,Of Automobies - of Three Wheelers,227
,Of Accessories of Motor Vehicle,226
,Govt. Vehicle,2
,"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",985
,Of Fire Arms,9
,Of Explosives,1
,Of Cultural - Idols,11
,Of Cultural - Painting,0
,Of Cultrual - Others,253
,Cash,510
,Jewellery,1478
,Other Items Not Included Above,1706
,In Running Train,44
,Extortion,283
,House Theft,1936
,Servant Theft,527
,Sub Total,20531
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",
,Land Dispute,1045
,Employee - Govt.,3
,Labour - Private Sector,2
,Labour - Public Sector,1
,Linguistic,3
,Political,5
,Regional,4
,Sectarian,0
,Students,2
,Tribal,0
,Due to Village Disputes,12
,Communal,4
,Industrial,5
,Caste,5
,Agrarian,2
,Others,2298
,Sub Total,3391
14,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158 BNS)",0
15,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",192
16,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),762
17,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",5839
18,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",
,"Stock Share, Debentrue Certificate",0
,Usage of Counterfeit Stamp,0
,Of Coins (Sec 231 to 254 IPC),0
,Of Stamps (Sec.255 to 263(A) IPC),0
,Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),30
,Of Others,1
,Sub Total,31
