Sl No,Crimes Against Women,2024,,Sl No.,Crimes Against Children,2024,,Sl. No,Crimes against SCs/STs,2024
1,Rape (Sec. 376 IPC),,,1,Infanticide/ Foeticide (Sec. 315 & 316 IPC),2,,1,Murder,99
,1.1 Custodial Rape,1,,2,Rape on Minor,0,,2,Rape,186
,1.2 Gang Rape,9,,3,Exposure & abandonment (Sec. 317 IPC),66,,3,Kidnapping,124
,1.3 other Cases of Rape,732,,4,Kidnapping & Abduction of Children,3766,,4,Offences under the Protection of Civil Rights Act.,0
,Sub Total,742,,4.1,For Ransom - of Children,11,,5,Offences under the SC & ST (prevention of Atrocities)Act 1989 (if the victim is SC),2092
2,Outraging modesty (Molestation) (sec.354 IPC),6311,,4.2,of Children - for begging,0,,,Total (Item 1 to 5),2501
3,Kidnapping & Abduction of Women: (Sec.366 IPC),128,,4.3,of Girls - Immoral Purpose,0,,,,
4,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),180,,4.4,With intent to Steal from Child,0,,,,
5,Murder for Dowry - by burning (Sec.302 IPC),0,,4.5,Lawful Guardianship,4,,,,
6,Murder for Dowry - by other means (Sec.302 IPC),11,,4.6,Procuration of Minor Girls - For Prostitution,0,,,,
7,Murder for other reasons,381,,4.7,Procuration of Minor Girls - Importing of Girl,0,,,,
8,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),0,,4.8,Procuration of Minor Girls - For Other Purposes,16,,,,
9,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),35,,,Sub Total,3797,,,,
10,Attempt to Commit murder for other reasons,763,,5,Selling of girls for Prostitution (Sec.372 IPC),0,,,,
11,Dowry Death-by burning (Sec.304-B IPC),1,,6,The Prohibition of Child Marriage Act - 2006,152,,,,
12,Dowry Death-by other Means (Sec.304(B) IPC),108,,7,POCSO Act,3938,,,,
13,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),2975,,8,Death of Children due to miscarriage,30,,,,
14,Abetment of Suicide (Sec.306 IPC),153,,9,Juvenile Justice Act,142,,,,
15,Immoral Traffic (prevention) Act.,299,,10,Child Labour (Pro.& Reg.) Act,105,,,,
16,Indecent Representation of Women(Prohibition) Act-1986,1,,11,Probation of Offenders Act,1,,,,
17,Pornography,0,,,Total (Item 1 to 11),8233,,,,
18,Offences against Public Servants (Sec.182-188-333-353 IPC),131,,,,,,,,
19,Offences related to Marriage,32,,,,,,,,
20,Cyber Crimes,6731,,,,,,,,
,Total (Item 1 to 20),18982,,,,,,,,
