Sl No,Crimes Against Women,2025,Sl No.,Crimes Against Children,2025,Sl. No,Crimes against SCs/STs,
1,Rape (Sec. 376 IPC),,1,Infanticide/ Foeticide (Sec. 315 & 316 IPC),5,1,Murder,94
,1.1 Custodial Rape,0,2,Rape on Minor,0,2,Rape,113
,1.2 Gang Rape,16,3,Exposure & abandonment (Sec. 317 IPC),65,3,Kidnapping,182
,1.3 other Cases of Rape,640,4,Kidnapping & Abduction of Children,3886,4,Offences under the Protection of Civil Rights Act.,9
,Sub Total,656,4.1,For Ransom - of Children,8,5,Offences under the SC & ST (prevention of Atrocities)Act 1989 (if the victim is SC),2013
2,Outraging modesty (Molestation) (sec.354 IPC),5840,4.2,of Children - for begging,0,,Total (Item 1 to 5),2411
3,Kidnapping & Abduction of Women: (Sec.366 IPC),124,4.3,of Girls - Immoral Purpose,0,,,
4,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),403,4.4,With intent to Steal from Child,0,,,
5,Murder for Dowry - by burning (Sec.302 IPC),1,4.5,Lawful Guardianship,4,,,
6,Murder for Dowry - by other means (Sec.302 IPC),7,4.6,Procuration of Minor Girls - For Prostitution,1,,,
7,Murder for other reasons,372,4.7,Procuration of Minor Girls - Importing of Girl,0,,,
8,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),2,4.8,Procuration of Minor Girls - For Other Purposes,15,,,
9,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),20,,Sub Total,3914,,,
10,Attempt to Commit murder for other reasons,978,5,Selling of girls for Prostitution (Sec.372 IPC),0,,,
11,Dowry Death-by burning (Sec.304-B IPC),1,6,The Prohibition of Child Marriage Act - 2006,197,,,
12,Dowry Death-by other Means (Sec.304(B) IPC),115,7,POCSO Act,4555,,,
13,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),2830,8,Death of Children due to miscarriage,15,,,
14,Abetment of Suicide (Sec.306 IPC),181,9,Juvenile Justice Act,151,,,
15,Immoral Traffic (prevention) Act.,316,10,Child Labour (Pro.& Reg.) Act,78,,,
16,Indecent Representation of Women(Prohibition) Act-1986,1,11,Probation of Offenders Act,0,,,
17,Pornography,4,,Total (Item 1 to 11),8980,,,
18,Offences against Public Servants (Sec.182-188-333-353 IPC),146,,,,,,
19,Offences related to Marriage,28,,,,,,
20,Cyber Crimes,4345,,,,,,
,Total (Item 1 to 20),16370,,,,,,
