Districts,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
Bagalkot,159,179,7.2,59,67,2.7,3,3,0.1,0,0,0,0,0,0,0,0,0,3,3,0.1,96,108,4.4,0,0,0,1,1,0,12,12,0.5,0,0,0
Bengaluru City,757,763,5.1,488,492,3.3,120,122,0.8,8,8,0.1,1,1,0,3,3,0,108,110,0.7,63,63,0.4,16,16,0.1,70,70,0.5,151,151,1,0,0,0
Bengaluru District,156,156,13.1,85,85,7.2,71,71,6,0,0,0,0,0,0,0,0,0,71,71,6,0,0,0,0,0,0,0,0,0,21,21,1.8,0,0,0
Belagavi District,276,276,7.5,129,129,3.5,2,2,0.1,0,0,0,0,0,0,0,0,0,2,2,0.1,138,138,3.8,0,0,0,7,7,0.2,22,22,0.6,0,0,0
Ballari,81,81,4.5,19,19,1,17,17,0.9,0,0,0,0,0,0,0,0,0,17,17,0.9,41,41,2.3,0,0,0,4,4,0.2,9,9,0.5,0,0,0
Bidar,54,55,2.8,52,53,2.7,2,2,0.1,0,0,0,0,0,0,0,0,0,2,2,0.1,0,0,0,0,0,0,0,0,0,11,11,0.6,1,1,0.1
Vijayapura,140,140,5.2,130,130,4.9,6,6,0.2,6,6,0.2,0,0,0,0,0,0,0,0,0,4,4,0.1,0,0,0,0,0,0,20,20,0.7,0,0,0
Chikkaballapura,146,173,10.5,92,112,6.6,11,11,0.8,0,0,0,0,0,0,0,0,0,11,11,0.8,40,47,2.9,1,1,0.1,2,2,0.1,9,9,0.6,0,0,0
Chamarajnagar,155,215,14.2,57,91,5.2,6,9,0.6,0,0,0,0,0,0,0,0,0,6,9,0.6,89,112,8.2,0,0,0,3,3,0.3,9,9,0.8,0,0,0
Chikkamagaluru,223,233,19.6,123,132,10.8,43,43,3.8,11,11,1,0,0,0,7,7,0.6,25,25,2.2,48,48,4.2,0,0,0,9,10,0.8,6,6,0.5,0,0,0
Chitradurga,383,397,20.9,221,229,12,9,9,0.5,9,9,0.5,0,0,0,0,0,0,0,0,0,150,156,8.2,1,1,0.1,2,2,0.1,12,12,0.7,0,0,0
Dakshina Kannada,57,57,3.2,36,36,2,10,10,0.6,0,0,0,0,0,0,0,0,0,10,10,0.6,3,3,0.2,1,1,0.1,7,7,0.4,10,10,0.6,0,0,0
Davanagere,218,229,12,123,133,6.8,6,7,0.3,0,0,0,0,0,0,1,1,0.1,5,6,0.3,87,87,4.8,0,0,0,2,2,0.1,17,17,0.9,1,1,0.1
Dharwad,47,59,4.4,33,44,3.1,6,6,0.6,0,0,0,0,0,0,0,0,0,6,6,0.6,7,8,0.7,0,0,0,1,1,0.1,3,4,0.3,1,1,0.1
Gadag,56,66,4.8,45,55,3.8,7,7,0.6,0,0,0,0,0,0,0,0,0,7,7,0.6,2,2,0.2,0,0,0,2,2,0.2,7,7,0.6,0,0,0
Kalaburgi,117,125,5.6,110,113,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.3,0,0,0,0,0,0,12,13,0.6,0,0,0
Hassan,273,273,14.7,196,196,10.6,12,12,0.6,0,0,0,0,0,0,0,0,0,12,12,0.6,63,63,3.4,0,0,0,2,2,0.1,13,13,0.7,0,0,0
Haveri,112,132,6.2,67,87,3.7,11,11,0.6,0,0,0,0,0,0,0,0,0,11,11,0.6,34,34,1.9,0,0,0,0,0,0,13,13,0.7,0,0,0
Hubballi Dharwad City,55,55,5,41,41,3.7,4,4,0.4,4,4,0.4,0,0,0,0,0,0,0,0,0,2,2,0.2,0,0,0,8,8,0.7,10,11,0.9,0,0,0
K.G.F.,39,41,5.8,33,35,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.9,0,0,0,0,0,0,5,5,0.7,0,0,0
Kodagu,53,53,9.4,41,41,7.3,5,5,0.9,0,0,0,0,0,0,0,0,0,5,5,0.9,6,6,1.1,0,0,0,1,1,0.2,8,8,1.4,0,0,0
Kolar,129,132,12.3,87,90,8.3,15,15,1.4,0,0,0,0,0,0,0,0,0,15,15,1.4,20,20,1.9,0,0,0,7,7,0.7,12,12,1.1,0,0,0
Koppal,109,115,6.6,109,115,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.5,0,0,0
Mandya,342,656,18.4,199,379,10.7,8,14,0.4,0,0,0,0,0,0,0,0,0,8,14,0.4,126,253,6.8,1,1,0.1,8,9,0.4,10,10,0.5,0,0,0
Mangaluru City,83,83,15.3,66,66,12.2,11,11,2,0,0,0,2,2,0.4,0,0,0,9,9,1.7,1,1,0.2,5,5,0.9,0,0,0,12,12,2.2,0,0,0
Mysuru City,81,81,5.6,50,50,3.5,11,11,0.8,0,0,0,2,2,0.1,0,0,0,9,9,0.6,17,17,1.2,0,0,0,3,3,0.2,15,15,1,0,0,0
Mysuru District,284,494,13.9,208,418,10.2,13,13,0.6,0,0,0,0,0,0,0,0,0,13,13,0.6,54,54,2.6,1,1,0,8,8,0.4,22,22,1.1,0,0,0
Raichur,217,217,9.2,197,197,8.3,16,16,0.7,0,0,0,0,0,0,0,0,0,16,16,0.7,2,2,0.1,0,0,0,2,2,0.1,24,24,1,0,0,0
K.Railways,3,3,,0,0,,3,3,,0,0,,3,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
Ramanagara,291,291,25.2,224,224,19.4,11,11,1,0,0,0,0,0,0,0,0,0,11,11,1,49,49,4.2,0,0,0,7,7,0.6,14,14,1.2,0,0,0
Shimoga,327,373,17.3,237,279,12.5,10,11,0.5,4,4,0.2,0,0,0,0,0,0,6,7,0.3,71,74,3.8,1,1,0.1,8,8,0.4,23,23,1.2,0,0,0
Tumakuru,284,308,10.1,151,157,5.4,123,141,4.4,0,0,0,0,0,0,0,0,0,123,141,4.4,4,4,0.1,0,0,0,6,6,0.2,19,19,0.7,0,0,0
Udupi,72,77,5.4,52,56,3.9,11,12,0.8,1,1,0.1,1,1,0.1,4,5,0.3,5,5,0.4,5,5,0.4,0,0,0,4,4,0.3,10,10,0.7,0,0,0
Uttara Kannada,160,278,10.4,74,129,4.8,11,21,0.7,0,0,0,0,0,0,0,0,0,11,21,0.7,70,123,4.6,2,2,0.1,3,3,0.2,11,11,0.7,0,0,0
